pwm,theta
20,-1.148146878
20,-1.137807804
20,-1.141716697
20,2.792518761
20,2.925418385
40,2.946528524
40,3.000449152
40,2.946477548
40,5.484614519
40,8.109124648
60,10.01095562
60,10.10271859
60,10.13565651
60,12.61264275
60,15.61420387
80,18.00264769
80,18.0465722
80,18.08806378
80,19.09033738
80,23.63643709
100,26.62911707
100,26.83186928
100,26.97179086
100,29.37182847
100,33.12454395
120,36.20734704
120,36.14228789
120,36.19567404
120,37.89454999
120,41.47238454
140,44.82165207
140,44.84544297
140,44.8028614
140,46.95944049
140,49.09165903
160,52.37270848
160,52.02488319
160,52.02248877
160,54.21016082
160,55.23541245
180,58.43447079
180,58.45269074
180,58.33803585
180,59.92130769
180,61.90996705
200,63.2776971
200,63.46431177
200,63.49158704
200,63.38453133
200,62.97443187
